path,regime,mask_ratio,mse,ssim,psnr,lpips
./CelebAMask-HQ/CelebA-HQ-img\18445.jpg,small,0.021484375,3.669416037155315e-05,0.9941648244857788,44.35403060913086,0.008272837847471237
./CelebAMask-HQ/CelebA-HQ-img\23223.jpg,small,0.01983642578125,0.00015918846474960446,0.9854792952537537,37.98088073730469,0.008102776482701302
./CelebAMask-HQ/CelebA-HQ-img\16051.jpg,small,0.019073486328125,0.0001862185017671436,0.9897444248199463,37.29977035522461,0.012502913363277912
./CelebAMask-HQ/CelebA-HQ-img\17443.jpg,small,0.009918212890625,5.9447505918797106e-05,0.9909145832061768,42.258663177490234,0.01581961289048195
./CelebAMask-HQ/CelebA-HQ-img\16702.jpg,small,0.0118255615234375,0.0002678431337699294,0.9880685806274414,35.721195220947266,0.006731883622705936
./CelebAMask-HQ/CelebA-HQ-img\16623.jpg,small,0.019775390625,5.889836393180303e-05,0.9910947680473328,42.29896545410156,0.01971042901277542
./CelebAMask-HQ/CelebA-HQ-img\11022.jpg,small,0.0177154541015625,0.00015572132542729378,0.9883226156234741,38.07651901245117,0.005628424696624279
./CelebAMask-HQ/CelebA-HQ-img\19455.jpg,small,0.017852783203125,0.0002016236976487562,0.9835401773452759,36.95458221435547,0.011424130760133266
./CelebAMask-HQ/CelebA-HQ-img\9805.jpg,small,0.0176239013671875,7.33233755454421e-05,0.9893759489059448,41.347572326660156,0.003771756310015917
./CelebAMask-HQ/CelebA-HQ-img\24226.jpg,small,0.02178955078125,0.00020202009181957692,0.9829713106155396,36.94605255126953,0.01487709954380989
./CelebAMask-HQ/CelebA-HQ-img\20201.jpg,small,0.0201416015625,0.0002194729750044644,0.9862335920333862,36.586185455322266,0.015391238033771515
./CelebAMask-HQ/CelebA-HQ-img\12876.jpg,small,0.02105712890625,4.0738257666816935e-05,0.9941708445549011,43.89997482299805,0.005202166736125946
./CelebAMask-HQ/CelebA-HQ-img\29423.jpg,small,0.021484375,0.0005134901730343699,0.9831440448760986,32.894676208496094,0.008611265569925308
./CelebAMask-HQ/CelebA-HQ-img\10437.jpg,small,0.01666259765625,2.4896173272281885e-05,0.9945544004440308,46.038673400878906,0.002106182975694537
./CelebAMask-HQ/CelebA-HQ-img\20089.jpg,small,0.0255126953125,0.000442078395280987,0.9810749292373657,33.545005798339844,0.020692430436611176
